timestamp,scintillator,rate_per_min,total_hits
2026-06-11T00:40:00+00:00,Scintillator 4,1130.3,507440
2026-06-11T00:50:00+00:00,Scintillator 1,1410.3,634262
2026-06-11T00:50:00+00:00,Scintillator 2,1326.8,596238
2026-06-11T00:50:00+00:00,Scintillator 3,1294.5,581551
2026-06-11T00:50:00+00:00,Scintillator 4,1145.7,518897
2026-06-11T01:00:00+00:00,Scintillator 1,1371.9,647981
2026-06-11T01:00:00+00:00,Scintillator 2,1295.3,609191
2026-06-11T01:00:00+00:00,Scintillator 3,1262.4,594175
2026-06-11T01:00:00+00:00,Scintillator 4,1126.6,530163
2026-06-11T01:10:00+00:00,Scintillator 1,1391.6,661897
2026-06-11T01:10:00+00:00,Scintillator 2,1316.3,622354
2026-06-11T01:10:00+00:00,Scintillator 3,1276.2,606937
2026-06-11T01:10:00+00:00,Scintillator 4,1138.1,541544
2026-06-11T01:20:00+00:00,Scintillator 1,1352.2,675419
2026-06-11T01:20:00+00:00,Scintillator 2,1269.8,635052
2026-06-11T01:20:00+00:00,Scintillator 3,1239.4,619331
2026-06-11T01:20:00+00:00,Scintillator 4,1114.2,552686
2026-06-11T01:30:00+00:00,Scintillator 1,1393.1,689350
2026-06-11T01:30:00+00:00,Scintillator 2,1313.3,648185
2026-06-11T01:30:00+00:00,Scintillator 3,1283.7,632168
2026-06-11T01:30:00+00:00,Scintillator 4,1140.3,564089
2026-06-11T01:40:00+00:00,Scintillator 1,1231.2,701662
2026-06-11T01:40:00+00:00,Scintillator 2,1284.8,661033
2026-06-11T01:40:00+00:00,Scintillator 3,1254.5,644713
2026-06-11T01:40:00+00:00,Scintillator 4,1126.6,575355
2026-06-11T01:50:00+00:00,Scintillator 1,1164.1,713303
2026-06-11T01:50:00+00:00,Scintillator 2,1280.6,673839
2026-06-11T01:50:00+00:00,Scintillator 3,1242.3,657136
2026-06-11T01:50:00+00:00,Scintillator 4,1136.2,586717
2026-06-11T02:00:00+00:00,Scintillator 1,1114.8,724451
2026-06-11T02:00:00+00:00,Scintillator 2,1256.5,686404
2026-06-11T02:00:00+00:00,Scintillator 3,1226.4,669400
2026-06-11T02:00:00+00:00,Scintillator 4,1122.0,597937
2026-06-11T02:10:00+00:00,Scintillator 1,1120.6,735657
2026-06-11T02:10:00+00:00,Scintillator 2,1269.8,699102
2026-06-11T02:10:00+00:00,Scintillator 3,1240.5,681805
2026-06-11T02:10:00+00:00,Scintillator 4,1136.7,609304
2026-06-11T02:20:00+00:00,Scintillator 1,1113.7,746794
2026-06-11T02:20:00+00:00,Scintillator 2,1273.8,711840
2026-06-11T02:20:00+00:00,Scintillator 3,1241.7,694222
2026-06-11T02:20:00+00:00,Scintillator 4,1139.5,620699
2026-06-11T02:30:00+00:00,Scintillator 1,1056.8,757362
2026-06-11T02:30:00+00:00,Scintillator 2,1260.3,724443
2026-06-11T02:30:00+00:00,Scintillator 3,1226.0,706482
2026-06-11T02:30:00+00:00,Scintillator 4,1127.2,631971
2026-06-11T02:40:00+00:00,Scintillator 1,1065.4,768016
2026-06-11T02:40:00+00:00,Scintillator 2,1255.6,736999
2026-06-11T02:40:00+00:00,Scintillator 3,1227.1,718753
2026-06-11T02:40:00+00:00,Scintillator 4,1132.1,643292
2026-06-11T02:50:00+00:00,Scintillator 1,1069.6,778712
2026-06-11T02:50:00+00:00,Scintillator 2,1248.1,749480
2026-06-11T02:50:00+00:00,Scintillator 3,1214.5,730898
2026-06-11T02:50:00+00:00,Scintillator 4,1121.8,654510
2026-06-11T03:00:00+00:00,Scintillator 1,1124.9,789961
2026-06-11T03:00:00+00:00,Scintillator 2,1275.7,762237
2026-06-11T03:00:00+00:00,Scintillator 3,1242.2,743320
2026-06-11T03:00:00+00:00,Scintillator 4,1140.3,665913
2026-06-11T03:10:00+00:00,Scintillator 1,1136.7,801328
2026-06-11T03:10:00+00:00,Scintillator 2,1274.2,774979
2026-06-11T03:10:00+00:00,Scintillator 3,1241.6,755736
2026-06-11T03:10:00+00:00,Scintillator 4,1139.6,677309
2026-06-11T03:20:00+00:00,Scintillator 1,1207.1,813399
2026-06-11T03:20:00+00:00,Scintillator 2,1277.8,787757
2026-06-11T03:20:00+00:00,Scintillator 3,1240.0,768136
2026-06-11T03:20:00+00:00,Scintillator 4,1136.0,688669
2026-06-11T03:30:00+00:00,Scintillator 1,1239.5,825794
2026-06-11T03:30:00+00:00,Scintillator 2,1260.9,800366
2026-06-11T03:30:00+00:00,Scintillator 3,1229.8,780434
2026-06-11T03:30:00+00:00,Scintillator 4,1102.2,699691
2026-06-11T03:40:00+00:00,Scintillator 1,1263.6,838430
2026-06-11T03:40:00+00:00,Scintillator 2,1282.0,813186
2026-06-11T03:40:00+00:00,Scintillator 3,1252.3,792957
2026-06-11T03:40:00+00:00,Scintillator 4,1126.8,710959
2026-06-11T03:50:00+00:00,Scintillator 1,1288.2,851312
2026-06-11T03:50:00+00:00,Scintillator 2,1310.3,826289
2026-06-11T03:50:00+00:00,Scintillator 3,1275.6,805713
2026-06-11T03:50:00+00:00,Scintillator 4,1142.9,722388
2026-06-11T04:00:00+00:00,Scintillator 1,1279.0,864102
2026-06-11T04:00:00+00:00,Scintillator 2,1306.7,839356
2026-06-11T04:00:00+00:00,Scintillator 3,1270.8,818421
2026-06-11T04:00:00+00:00,Scintillator 4,1143.5,733823
2026-06-11T04:10:00+00:00,Scintillator 1,1287.6,876978
2026-06-11T04:10:00+00:00,Scintillator 2,1318.0,852536
2026-06-11T04:10:00+00:00,Scintillator 3,1285.1,831272
2026-06-11T04:10:00+00:00,Scintillator 4,1148.2,745305
2026-06-11T04:20:00+00:00,Scintillator 1,1282.9,889807
2026-06-11T04:20:00+00:00,Scintillator 2,1308.2,865618
2026-06-11T04:20:00+00:00,Scintillator 3,1273.7,844009
2026-06-11T04:20:00+00:00,Scintillator 4,1151.2,756817
2026-06-11T04:30:00+00:00,Scintillator 1,1273.9,902546
2026-06-11T04:30:00+00:00,Scintillator 2,1280.3,878421
2026-06-11T04:30:00+00:00,Scintillator 3,1253.0,856539
2026-06-11T04:30:00+00:00,Scintillator 4,1122.2,768039
2026-06-11T04:40:00+00:00,Scintillator 1,1296.8,915514
2026-06-11T04:40:00+00:00,Scintillator 2,1306.5,891486
2026-06-11T04:40:00+00:00,Scintillator 3,1278.1,869320
2026-06-11T04:40:00+00:00,Scintillator 4,1149.8,779537
2026-06-11T04:50:00+00:00,Scintillator 1,1280.7,928321
2026-06-11T04:50:00+00:00,Scintillator 2,1291.8,904404
2026-06-11T04:50:00+00:00,Scintillator 3,1259.3,881913
2026-06-11T04:50:00+00:00,Scintillator 4,1125.4,790791
2026-06-11T05:00:00+00:00,Scintillator 1,1242.2,940743
2026-06-11T05:00:00+00:00,Scintillator 2,1269.4,917098
2026-06-11T05:00:00+00:00,Scintillator 3,1228.9,894202
2026-06-11T05:00:00+00:00,Scintillator 4,1113.5,801926
2026-06-11T05:10:00+00:00,Scintillator 1,1250.5,953248
2026-06-11T05:10:00+00:00,Scintillator 2,1294.9,930047
2026-06-11T05:10:00+00:00,Scintillator 3,1263.5,906837
2026-06-11T05:10:00+00:00,Scintillator 4,1139.4,813320
2026-06-11T05:20:00+00:00,Scintillator 1,1255.2,965800
2026-06-11T05:20:00+00:00,Scintillator 2,1294.4,942991
2026-06-11T05:20:00+00:00,Scintillator 3,1260.5,919442
2026-06-11T05:20:00+00:00,Scintillator 4,1135.5,824675
2026-06-11T05:30:00+00:00,Scintillator 1,1237.8,978178
2026-06-11T05:30:00+00:00,Scintillator 2,1279.4,955785
2026-06-11T05:30:00+00:00,Scintillator 3,1245.5,931897
2026-06-11T05:30:00+00:00,Scintillator 4,1137.1,836046
2026-06-11T05:40:00+00:00,Scintillator 1,1214.5,990323
2026-06-11T05:40:00+00:00,Scintillator 2,1253.0,968315
2026-06-11T05:40:00+00:00,Scintillator 3,1220.8,944105
