timestamp,multiplicity,observed_count,rate_per_min,random_expected_count
2026-06-11T06:30:00+00:00,3,4191,419.1,2.09e-05
2026-06-11T06:30:00+00:00,4,3104,310.4,0.0
2026-06-11T06:40:00+00:00,2,7279,727.9,1.49545408
2026-06-11T06:40:00+00:00,3,4056,405.6,2.03e-05
2026-06-11T06:40:00+00:00,4,3089,308.9,0.0
2026-06-11T06:50:00+00:00,2,7420,742.0,1.57682952
2026-06-11T06:50:00+00:00,3,4213,421.3,2.198e-05
2026-06-11T06:50:00+00:00,4,3176,317.6,0.0
2026-06-11T07:00:00+00:00,2,7454,745.4,1.54994903
2026-06-11T07:00:00+00:00,3,4083,408.3,2.142e-05
2026-06-11T07:00:00+00:00,4,3180,318.0,0.0
2026-06-11T07:10:00+00:00,2,7371,737.1,1.56833733
2026-06-11T07:10:00+00:00,3,4182,418.2,2.179e-05
2026-06-11T07:10:00+00:00,4,3214,321.4,0.0
2026-06-11T07:20:00+00:00,2,7365,736.5,1.51119868
2026-06-11T07:20:00+00:00,3,4036,403.6,2.062e-05
2026-06-11T07:20:00+00:00,4,3128,312.8,0.0
2026-06-11T07:30:00+00:00,2,7403,740.3,1.53258201
2026-06-11T07:30:00+00:00,3,4060,406.0,2.106e-05
2026-06-11T07:30:00+00:00,4,3162,316.2,0.0
2026-06-11T07:40:00+00:00,2,7552,755.2,1.61054848
2026-06-11T07:40:00+00:00,3,4289,428.9,2.268e-05
2026-06-11T07:40:00+00:00,4,3119,311.9,0.0
2026-06-11T07:50:00+00:00,2,7322,732.2,1.55846133
2026-06-11T07:50:00+00:00,3,4210,421.0,2.159e-05
2026-06-11T07:50:00+00:00,4,3164,316.4,0.0
2026-06-11T08:00:00+00:00,2,7267,726.7,1.5268061
2026-06-11T08:00:00+00:00,3,4153,415.3,2.094e-05
2026-06-11T08:00:00+00:00,4,3122,312.2,0.0
2026-06-11T08:10:00+00:00,2,7320,732.0,1.5595838
2026-06-11T08:10:00+00:00,3,4207,420.7,2.162e-05
2026-06-11T08:10:00+00:00,4,3184,318.4,0.0
2026-06-11T08:20:00+00:00,2,7258,725.8,1.48629599
2026-06-11T08:20:00+00:00,3,4087,408.7,2.011e-05
2026-06-11T08:20:00+00:00,4,3079,307.9,0.0
2026-06-11T08:30:00+00:00,2,7124,712.4,1.48559274
2026-06-11T08:30:00+00:00,3,4046,404.6,2.01e-05
2026-06-11T08:30:00+00:00,4,3129,312.9,0.0
2026-06-11T08:40:00+00:00,2,7408,740.8,1.55096098
2026-06-11T08:40:00+00:00,3,4036,403.6,2.144e-05
2026-06-11T08:40:00+00:00,4,3190,319.0,0.0
2026-06-11T08:50:00+00:00,2,7346,734.6,1.51147817
2026-06-11T08:50:00+00:00,3,4015,401.5,2.062e-05
2026-06-11T08:50:00+00:00,4,3106,310.6,0.0
2026-06-11T09:00:00+00:00,2,6996,699.6,1.41936782
2026-06-11T09:00:00+00:00,3,3915,391.5,1.877e-05
2026-06-11T09:00:00+00:00,4,3072,307.2,0.0
2026-06-11T09:10:00+00:00,2,7081,708.1,1.45068838
2026-06-11T09:10:00+00:00,3,3940,394.0,1.939e-05
2026-06-11T09:10:00+00:00,4,3110,311.0,0.0
2026-06-11T09:20:00+00:00,2,7248,724.8,1.5075876
2026-06-11T09:20:00+00:00,3,3973,397.3,2.054e-05
2026-06-11T09:20:00+00:00,4,3167,316.7,0.0
2026-06-11T09:30:00+00:00,2,7355,735.5,1.50899218
2026-06-11T09:30:00+00:00,3,3961,396.1,2.058e-05
2026-06-11T09:30:00+00:00,4,3133,313.3,0.0
2026-06-11T09:40:00+00:00,2,7307,730.7,1.51440989
2026-06-11T09:40:00+00:00,3,4091,409.1,2.068e-05
2026-06-11T09:40:00+00:00,4,3077,307.7,0.0
2026-06-11T09:50:00+00:00,2,7082,708.2,1.43809295
2026-06-11T09:50:00+00:00,3,4013,401.3,1.914e-05
2026-06-11T09:50:00+00:00,4,3036,303.6,0.0
2026-06-11T10:00:00+00:00,2,7195,719.5,1.49278649
2026-06-11T10:00:00+00:00,3,3994,399.4,2.024e-05
2026-06-11T10:00:00+00:00,4,3118,311.8,0.0
2026-06-11T10:10:00+00:00,2,7402,740.2,1.53659371
2026-06-11T10:10:00+00:00,3,4046,404.6,2.114e-05
2026-06-11T10:10:00+00:00,4,3154,315.4,0.0
2026-06-11T10:20:00+00:00,2,7280,728.0,1.55125175
2026-06-11T10:20:00+00:00,3,4077,407.7,2.144e-05
2026-06-11T10:20:00+00:00,4,3218,321.8,0.0
2026-06-11T10:30:00+00:00,2,7138,713.8,1.47924899
2026-06-11T10:30:00+00:00,3,3999,399.9,1.997e-05
2026-06-11T10:30:00+00:00,4,3129,312.9,0.0
2026-06-11T10:40:00+00:00,2,7177,717.7,1.46699734
2026-06-11T10:40:00+00:00,3,3955,395.5,1.972e-05
2026-06-11T10:40:00+00:00,4,3091,309.1,0.0
2026-06-11T10:50:00+00:00,2,6982,698.2,1.42685092
2026-06-11T10:50:00+00:00,3,3903,390.3,1.892e-05
2026-06-11T10:50:00+00:00,4,3059,305.9,0.0
2026-06-11T11:00:00+00:00,2,7153,715.3,1.52262165
2026-06-11T11:00:00+00:00,3,4057,405.7,2.086e-05
2026-06-11T11:00:00+00:00,4,3219,321.9,0.0
2026-06-11T11:10:00+00:00,2,7320,732.0,1.51634937
2026-06-11T11:10:00+00:00,3,4033,403.3,2.072e-05
2026-06-11T11:10:00+00:00,4,3141,314.1,0.0
2026-06-11T11:20:00+00:00,2,7428,742.8,1.54830764
2026-06-11T11:20:00+00:00,3,4088,408.8,2.138e-05
2026-06-11T11:20:00+00:00,4,3149,314.9,0.0
2026-06-11T11:30:00+00:00,2,7203,720.3,1.4773089
2026-06-11T11:30:00+00:00,3,3917,391.7,1.993e-05
2026-06-11T11:30:00+00:00,4,3169,316.9,0.0
2026-06-11T11:40:00+00:00,2,7158,715.8,1.48216081
2026-06-11T11:40:00+00:00,3,4043,404.3,2.003e-05
2026-06-11T11:40:00+00:00,4,3071,307.1,0.0
2026-06-11T11:50:00+00:00,2,7175,717.5,1.49228293
2026-06-11T11:50:00+00:00,3,3926,392.6,2.024e-05
2026-06-11T11:50:00+00:00,4,3230,323.0,0.0
2026-06-11T12:00:00+00:00,2,7175,717.5,1.4472157
2026-06-11T12:00:00+00:00,3,3953,395.3,1.932e-05
2026-06-11T12:00:00+00:00,4,3025,302.5,0.0
2026-06-11T12:10:00+00:00,2,7097,709.7,1.40608406
2026-06-11T12:10:00+00:00,3,3831,383.1,1.851e-05
2026-06-11T12:10:00+00:00,4,3013,301.3,0.0
2026-06-11T12:20:00+00:00,2,7218,721.8,1.47686997
2026-06-11T12:20:00+00:00,3,4003,400.3,1.992e-05
2026-06-11T12:20:00+00:00,4,3087,308.7,0.0
2026-06-11T12:30:00+00:00,2,7347,734.7,1.52236997
2026-06-11T12:30:00+00:00,3,3973,397.3,2.085e-05
2026-06-11T12:30:00+00:00,4,3194,319.4,0.0
2026-06-11T12:40:00+00:00,2,7215,721.5,1.52828559
2026-06-11T12:40:00+00:00,3,4174,417.4,2.097e-05
2026-06-11T12:40:00+00:00,4,3122,312.2,0.0
2026-06-11T12:50:00+00:00,2,7319,731.9,1.54796277
2026-06-11T12:50:00+00:00,3,4096,409.6,2.138e-05
2026-06-11T12:50:00+00:00,4,3223,322.3,0.0
2026-06-11T13:00:00+00:00,2,7440,744.0,1.55441472
2026-06-11T13:00:00+00:00,3,4073,407.3,2.151e-05
2026-06-11T13:00:00+00:00,4,3187,318.7,0.0
2026-06-11T13:10:00+00:00,2,7269,726.9,1.54324554
2026-06-11T13:10:00+00:00,3,4117,411.7,2.128e-05
2026-06-11T13:10:00+00:00,4,3211,321.1,0.0
2026-06-11T13:20:00+00:00,2,7333,733.3,1.52287894
2026-06-11T13:20:00+00:00,3,4056,405.6,2.085e-05
2026-06-11T13:20:00+00:00,4,3165,316.5,0.0
2026-06-11T13:30:00+00:00,2,7373,737.3,1.54044721
2026-06-11T13:30:00+00:00,3,4137,413.7,2.122e-05
2026-06-11T13:30:00+00:00,4,3152,315.2,0.0
2026-06-11T13:40:00+00:00,2,7584,758.4,1.58720122
2026-06-11T13:40:00+00:00,3,4344,434.4,2.219e-05
2026-06-11T13:40:00+00:00,4,3135,313.5,0.0
2026-06-11T13:50:00+00:00,2,7399,739.9,1.58241345
2026-06-11T13:50:00+00:00,3,4532,453.2,2.208e-05
2026-06-11T13:50:00+00:00,4,3150,315.0,0.0
2026-06-11T14:00:00+00:00,2,7316,731.6,1.62253828
2026-06-11T14:00:00+00:00,3,4767,476.7,2.293e-05
2026-06-11T14:00:00+00:00,4,3307,330.7,0.0
2026-06-11T14:10:00+00:00,2,6903,690.3,1.65269444
2026-06-11T14:10:00+00:00,3,5132,513.2,2.356e-05
2026-06-11T14:10:00+00:00,4,3493,349.3,0.0
2026-06-11T14:20:00+00:00,2,7038,703.8,1.59955318
2026-06-11T14:20:00+00:00,3,5074,507.4,2.242e-05
2026-06-11T14:20:00+00:00,4,3235,323.5,0.0
2026-06-11T14:30:00+00:00,2,7130,713.0,1.65307354
2026-06-11T14:30:00+00:00,3,5198,519.8,2.356e-05
2026-06-11T14:30:00+00:00,4,3261,326.1,0.0
2026-06-11T14:40:00+00:00,2,7052,705.2,1.63797613
2026-06-11T14:40:00+00:00,3,5135,513.5,2.324e-05
2026-06-11T14:40:00+00:00,4,3313,331.3,0.0
2026-06-11T14:50:00+00:00,2,7150,715.0,1.60903052
2026-06-11T14:50:00+00:00,3,5102,510.2,2.262e-05
2026-06-11T14:50:00+00:00,4,3189,318.9,0.0
2026-06-11T15:00:00+00:00,2,7053,705.3,1.63948587
2026-06-11T15:00:00+00:00,3,5079,507.9,2.327e-05
2026-06-11T15:00:00+00:00,4,3344,334.4,0.0
2026-06-11T15:10:00+00:00,2,6978,697.8,1.62216621
2026-06-11T15:10:00+00:00,3,5047,504.7,2.29e-05
2026-06-11T15:10:00+00:00,4,3359,335.9,0.0
2026-06-11T15:20:00+00:00,2,6940,694.0,1.61413646
2026-06-11T15:20:00+00:00,3,5080,508.0,2.273e-05
2026-06-11T15:20:00+00:00,4,3350,335.0,0.0
2026-06-11T15:30:00+00:00,2,7271,727.1,1.68505372
2026-06-11T15:30:00+00:00,3,5146,514.6,2.424e-05
2026-06-11T15:30:00+00:00,4,3344,334.4,0.0
2026-06-11T15:40:00+00:00,2,7197,719.7,1.66689292
2026-06-11T15:40:00+00:00,3,5124,512.4,2.386e-05
2026-06-11T15:40:00+00:00,4,3326,332.6,0.0
2026-06-11T15:50:00+00:00,2,7084,708.4,1.63581702
2026-06-11T15:50:00+00:00,3,5173,517.3,2.319e-05
2026-06-11T15:50:00+00:00,4,3275,327.5,0.0
2026-06-11T16:00:00+00:00,2,7112,711.2,1.62236838
